0,926,588,100,100
1,910,584,100,100
2,902,582,102,102
3,887,575,104,104
4,877,572,104,104
5,869,568,104,104
6,858,569,106,106
7,850,571,102,102
8,842,571,98,98
9,836,572,98,98
10,831,577,98,98
11,823,586,102,102
12,816,596,104,104
13,813,603,104,104
14,811,607,106,106
15,810,611,104,104
16,807,613,100,100
17,806,619,98,98
18,802,620,98,98
19,801,622,98,98
20,800,624,98,98
21,800,625,98,98
22,799,625,98,98
23,795,626,98,98
24,789,626,98,98
25,787,626,98,98
26,785,627,98,98
27,783,626,96,96
28,779,626,98,98
29,770,620,96,96
30,761,617,96,96
31,747,614,92,92
32,740,612,91,91
33,733,614,89,89
34,723,618,91,91
35,704,618,94,94
36,693,618,94,94
37,686,618,94,94
38,680,618,92,92
39,674,618,94,94
40,670,619,94,94
41,666,620,94,94
42,661,620,94,94
43,653,622,92,92
44,648,621,92,92
45,647,621,94,94
46,664,613,92,92
47,678,610,92,92
48,685,589,92,92
49,674,570,92,92
50,684,548,92,92
51,685,534,89,89
52,703,517,87,87
53,731,517,87,87
54,736,500,89,89
55,734,492,89,89
56,734,487,87,87
57,728,494,87,87
58,726,495,87,87
59,735,462,89,89
60,739,427,89,89
61,745,405,89,89
62,751,385,87,87
63,751,374,85,85
64,753,346,85,85
65,749,327,85,85
66,747,323,85,85
67,746,316,85,85
68,747,317,85,85
69,749,325,85,85
70,753,335,84,84
71,754,349,82,82
72,760,369,82,82
73,763,393,82,82
74,763,397,82,82
75,764,434,82,82
76,768,475,82,82
77,776,515,80,80
78,780,493,80,80
79,773,464,80,80
80,774,461,80,80
81,770,435,80,80
82,757,404,80,80
83,749,384,80,80
84,745,370,79,79
85,745,361,79,79
86,745,354,79,79
87,741,348,79,79
88,709,330,79,79
89,702,338,77,77
90,697,355,76,76
91,691,371,76,76
92,687,396,76,76
93,688,396,76,76
94,685,427,76,76
95,682,461,76,76
96,660,489,76,76
97,660,480,76,76
98,660,476,76,76
99,667,423,76,76
100,676,374,76,76
101,692,332,76,76
102,701,284,76,76
103,717,254,76,76
104,713,243,76,76
105,726,222,76,76
106,726,216,76,76
107,738,198,76,76
108,738,196,76,76
109,740,197,76,76
110,740,200,76,76
111,740,208,77,77
112,734,215,77,77
113,727,233,77,77
114,716,261,76,76
115,715,291,76,76
116,717,320,76,76
117,714,321,76,76
118,713,358,74,74
119,714,402,74,74
120,715,450,74,74
121,716,505,74,74
122,715,504,74,74
123,713,498,74,74
124,706,468,74,74
125,698,438,74,74
126,687,393,74,74
127,669,354,74,74
128,672,349,74,74
129,671,337,74,74
130,663,321,74,74
131,652,321,74,74
132,645,324,74,74
133,636,327,74,74
134,631,352,74,74
135,620,362,74,74
136,618,365,74,74
137,605,386,74,74
138,594,416,74,74
139,586,450,74,74
140,584,449,74,74
141,576,491,74,74
142,570,535,74,74
143,580,510,74,74
144,606,492,74,74
145,617,471,74,74
146,615,463,74,74
147,623,453,74,74
148,633,452,74,74
149,640,452,74,74
150,647,456,74,74
151,652,466,74,74
152,652,476,74,74
153,652,483,74,74
154,658,507,74,74
155,665,532,73,73
156,669,518,73,73
157,658,487,73,73
158,658,484,73,73
159,650,456,73,73
160,650,431,73,73
161,649,414,73,73
162,653,407,73,73
163,654,396,73,73
164,658,384,73,73
165,663,382,73,73
166,676,364,73,73
167,692,358,73,73
168,702,354,73,73
169,714,366,73,73
170,714,382,73,73
171,713,386,73,73
172,713,399,73,73
173,714,418,73,73
174,718,448,73,73
175,726,481,73,73
176,731,513,73,73
177,731,512,73,73
178,730,491,73,73
179,724,448,73,73
180,718,410,73,73
181,713,375,73,73
182,713,351,73,73
183,712,349,73,73
184,707,323,73,73
185,697,297,73,73
186,696,291,73,73
187,695,296,73,73
188,691,305,73,73
189,685,311,74,74
190,672,325,74,74
191,666,342,74,74
192,656,360,74,74
193,645,383,74,74
194,637,414,74,74
195,635,416,74,74
196,628,448,74,74
197,616,484,74,74
198,606,520,74,74
199,602,493,74,74
200,602,468,74,74
201,602,462,74,74
202,598,438,74,74
203,592,413,74,74
204,598,401,74,74
205,609,398,74,74
206,617,396,74,74
207,620,397,74,74
208,623,401,74,74
209,626,403,74,74
210,632,408,74,74
211,636,421,74,74
212,640,440,74,74
213,638,446,74,74
